filename,name,type,engine_count,status,confidence,sources_count,estimated_fields_count,warnings,errors
Piper_PA-30_Twin_Comanche.json,Piper PA-30 Twin Comanche,multi_engine,2,ok,partial,1,0,,
Piper_PA-32-260.json,Piper PA-32-260,single_engine,1,ok,partial,1,0,,
Piper_PA-32R-300.json,Piper PA-32R-300,single_engine,1,ok,partial,1,0,,
Piper_PA-34_Seneca.json,Piper PA-34 Seneca,multi_engine,2,ok,partial,1,0,G_limits.aerobatic.* all zero (not aerobatic-certified sentinel),
Piper_PA-44_Seminole.json,Piper PA-44 Seminole,multi_engine,2,ok,partial,1,0,G_limits.aerobatic.* all zero (not aerobatic-certified sentinel),
Pipistrel_Alpha_Trainer.json,Pipistrel Alpha Trainer,single_engine,1,ok,partial,1,0,,
Pipistrel_Virus.json,Pipistrel Virus,single_engine,1,ok,partial,1,0,,
Pitts_S-1C-TB.json,Pitts S-1C-TB,single_engine,1,ok,partial,2,0,,
Pitts_S-1C.json,Pitts S-1C,single_engine,1,ok,partial,1,0,,
Pitts_S-2C.json,Pitts S-2C,single_engine,1,ok,partial,1,0,,
Remos_GX.json,Remos GX,single_engine,1,ok,partial,1,0,,
Robin_DR400.json,Robin DR400,single_engine,1,ok,partial,1,0,,
Robin_R3000.json,Robin R3000,single_engine,1,ok,partial,1,0,,
Socata_TB10.json,Socata TB10,single_engine,1,ok,partial,1,0,,
Socata_TB20.json,Socata TB20,single_engine,1,ok,partial,1,0,,
Socata_TB9.json,Socata TB9,single_engine,1,ok,partial,1,0,,
Stinson_108.json,Stinson 108,single_engine,1,ok,partial,1,0,,
Sukhoi_Su-26.json,Sukhoi Su-26,single_engine,1,ok,partial,1,0,,
Supermarine_Spitfire.json,Supermarine Spitfire Mk IX,single_engine,1,ok,partial,1,0,,
T-6A_Texan_II.json,T-6A Texan II,single_engine,1,ok,partial,1,0,,
T-6B_Texan_II.json,T-6B Texan II,single_engine,1,ok,partial,1,0,,
Taylorcraft_BC-12D.json,Taylorcraft BC-12D,single_engine,1,ok,partial,1,0,,
Tecnam_P2002.json,Tecnam P2002,single_engine,1,ok,partial,1,0,,
Tecnam_P2006T.json,Tecnam P2006T,multi_engine,2,ok,partial,1,0,,
Van's_RV-10.json,Van's RV-10,single_engine,1,ok,partial,1,0,,
Van's_RV-12.json,Van's RV-12,single_engine,1,ok,partial,1,0,,
Van's_RV-14A.json,Van's RV-14A,single_engine,1,ok,partial,1,0,,
Van's_RV-6.json,Van's RV-6,single_engine,1,ok,partial,1,0,,
Van's_RV-8.json,Van's RV-8,single_engine,1,ok,partial,1,0,,
Van's_RV-9A.json,Van's RV-9A,single_engine,1,ok,partial,1,0,,
Vought_F4U-4_Corsair.json,Vought F4U-4 Corsair,single_engine,1,ok,partial,1,0,,
Yakovlev_Yak-3.json,Yakovlev Yak-3,single_engine,1,ok,partial,1,0,,
Zivko_Edge_540.json,Zivko Edge 540,single_engine,1,ok,partial,1,0,,
Zlin_Savage.json,Zlin Savage,single_engine,1,ok,partial,1,0,,
Zlin_Z-242L.json,Zlin Z-242L,single_engine,1,ok,partial,1,0,,
